id,income
37035011801,74650
37035011802,70393
37037020103,57122
37037020104,42004
37037020105,36161
37037020106,26076
37037020200,45526
37037020300,48393
37037020401,68125
37037020402,56974
37037020500,59724
37037020600,27900
37037020701,34722
37037020702,34118
37037020800,33898
37039930100,37230
37039930200,39853
37039930300,39242
37039930400,28635
37039930500,47386
37039930601,44253
37039930602,41317
37041930101,33281
37041930102,39159
37041930200,39583
37043950100,37154
37043950200,42689
37045950101,37500
37045950102,40625
37045950200,31602
37045950301,41367
37045950302,43058
37045950400,43071
37045950500,35750
37045950601,20781
37045950602,27395
37045950700,27788
37045950800,34528
37045950900,47331
37045951000,42946
37045951100,51433
37045951200,51645
37045951300,53239
37045951400,37793
37045951501,36806
37045951502,37092
37045951503,42019
37045951601,47500
37045951602,32604
37047930100,34663
37047930200,35183
37047930300,30344
37047930400,47941
37047930500,22872
37047930600,35241
37047930700,34848
37047930800,29563
37047930900,47902
37047931000,60716
37047931100,50267
37047931200,36660
37047931300,40000
37049960101,49082
37049960102,47873
37049960200,85951
37049960300,56377
37049960401,40602
37049960402,38977
37049960403,44421
37049960404,16979
37049960500,20743
37049960600,64830
37049960700,52857
37049960800,61601
37049960900,35523
37049961001,54837
37049961002,52031
37049961100,49507
37049961201,64018
37049961202,14655
37049961301,23324
37049961302,41676
37049961303,74523
37051000200,64531
37051000500,40574
37051000600,45449
37051000701,26587
37051000702,32159
37051000800,24274
37051000900,36685
37051001000,40592
37051001100,55614
37051001200,34896
37051001400,35349
37051001500,40038
37051001601,34250
37051001603,32292
37051001604,36862
37051001700,38545
37051001800,41157
37051001901,39291
37051001902,38438
37051001903,32273
37051002001,31880
37051002002,22845
37051002100,31830
37051002200,55576
37051002300,43290
37051002401,48869
37051002402,47013
37051002501,42004
37051002502,49929
37051002503,43929
37051002504,43750
37051002600,66458
37051002700,51563
37051002800,80970
37051002900,38969
37051003001,46735
37051003002,88038
37051003102,43707
37051003103,49452
37051003104,58915
37051003201,42038
37051003203,46175
37051003204,45107
37051003205,48184
37051003302,58005
37051003304,36054
37051003305,37093
37051003307,50420
37051003309,54233
37051003310,52078
37051003311,39359
37051003312,40900
37051003313,33056
37051003314,93438
37051003401,38152
37051003402,48733
37051003403,33708
37051003404,38375
37051003405,64779
37051003406,20587
37051003407,73378
37051003408,53409
37051003500,81024
37051003600,62005
37051003700,48558
37051003800,44611
37051980100,56923
37051980200,85551
37053110101,56078
37053110102,55167
37053110200,52186
37053110301,55051
37053110302,40972
37053110401,46224
37053110402,53349
37053990100,49821
37055970101,47667
37055970102,65653
37055970200,51215
37055970300,51292
37055970400,55094
37055970501,62172
37055970502,61857
37055970601,51735
37055970602,57788
37055990100,62216
37055990200,52986
37057060101,55039
37057060102,47703
37057060201,35455
37057060202,26593
37057060203,34828
37057060301,33138
37057060302,43396
37057060303,32685
37057060304,46719
37057060400,29561
37057060500,19471
37057060601,24896
37057060602,25994
37057060700,47076
37057060800,39134
37057060900,55000
37057061000,49032
37057061100,47038
37057061201,52873
37057061202,41761
37057061300,45712
37057061400,49052
37057061500,35719
37057061600,42210
37057061701,59116
37057061702,76261
37057061703,57273
37057061802,40656
37057061803,41347
37057061804,40957
37057061901,36401
37057061902,39706
37057062001,28599
37057062002,42235
37059080100,36619
37059080200,37213
37059080300,34688
37059080400,35757
37059080500,31317
37059080600,33750
37059080700,29598
37061090100,35467
37061090200,39236
37061090300,38870
37061090400,32141
37061090501,50474
37061090502,72778
37061090600,45610
37061090701,24343
37061090702,43509
37061090801,43144
37061090802,25069
37063000101,30179
37063000102,26272
37063000200,19948
37063000301,23661
37063000302,32150
37063000401,21157
37063000402,20016
37063000500,9107
37063000600,25393
37063000700,75706
37063000900,69925
37063001001,91741
37063001002,51898
37063001100,40878
37063001301,64569
37063001303,56149
37063001304,22424
37063001400,41465
37063001501,32807
37063001502,56571
37063001503,41460
37063001601,60147
37063001603,54766
37063001604,88686
